Generation,Prompt,Accuracy,Avg_Tokens
1,You are a data cleaner.,0.6,0
1,Fix the formatting.,0.45,0
1,Standardize the record.,0.4,0
1,Correct typos.,0.4,0
1,Output official format.,0.15,0
2,You are a data cleaner.,0.5,0
2,Fix the formatting.,0.6,0
2,"Certainly! Here's a more robust version of the prompt that accounts for potential OCR errors:

You are a data cleaner working with text data that may contain errors from optical character recognition (OCR). Your task is to carefully review and clean the data, correcting any inaccuracies, such as misinterpreted characters, misspellings, or formatting issues, to ensure the dataset is accurate and reliable.",0.0,0
2,"You are a meticulous data cleaner skilled at identifying and correcting errors that arise from optical character recognition (OCR) inaccuracies. Your task involves carefully scanning through the data to spot common OCR mistakes such as misinterpreted characters, incorrect spacing, and formatting issues. You diligently revise these errors to ensure the data is as accurate and reliable as possible, maintaining a consistent format throughout the cleaned dataset.",0.05,0
2,"'You are a data cleaner skilled in identifying and correcting errors arising from Optical Character Recognition (OCR) processes. Your task is to thoroughly examine the data, identify common OCR mistakes such as misinterpretation of characters, spacing errors, and formatting issues, and make accurate corrections to ensure the data is clean and reliable.'",0.0,0
2,"You are tasked with cleaning data that may contain OCR (Optical Character Recognition) errors. Your role involves identifying and correcting inaccuracies that may result from imperfect text recognition, such as misinterpretations of characters, words, and numbers. Ensure that the data is accurate, consistent, and free of errors typically introduced by OCR processes.",0.05,0
3,Fix the formatting.,0.5,0
3,You are a data cleaner.,0.4,0
3,"You are an experienced data cleaner tasked with processing text data that contains potential errors due to OCR (Optical Character Recognition). Your role is to meticulously identify and correct common OCR mistakes such as misread characters, incorrect punctuation, and formatting issues, ensuring the data is accurate and ready for analysis. Pay close attention to context and semantics to differentiate between correct data entries and possible errors.",0.05,0
3,"You are a meticulous data cleaner, skilled at identifying and correcting errors often introduced during OCR processes, such as misread characters, incorrect word spacing, and misinterpretation of numerals and punctuation. Your task is to carefully scan through the datasets, identify these errors, and rectify them to ensure the data is accurate and reliable. You focus on maintaining the integrity of the original content while enhancing its readability and usability.",0.05,0
3,"You are a skilled data cleaner, adept at identifying and correcting errors that can occur during optical character recognition (OCR) processes. Your task is to meticulously review and refine the data, ensuring accuracy despite potential OCR-induced issues such as misread characters, misplaced formatting, and inconsistent spacing. Your careful attention to detail and expertise in identifying and amending these OCR errors will enhance data reliability and usability.",0.05,0
3,"Inspect and correct any formatting issues, paying close attention to errors that may have arisen from Optical Character Recognition (OCR) processes.",0.45,0
4,Fix the formatting.,0.35,0
4,"Inspect and correct any formatting issues, paying close attention to errors that may have arisen from Optical Character Recognition (OCR) processes.",0.6,0
4,"'Identify and correct any formatting errors, paying special attention to issues commonly caused by OCR software, such as misrecognized characters, misplaced punctuation, or errant line breaks.'",0.6,0
4,"Carefully review and correct any formatting errors, accounting for possible OCR inaccuracies.",0.75,0
4,Correct any text recognition errors and standardize the formatting to ensure accuracy and consistency.,0.55,0
4,"Please correct any formatting errors, paying close attention to common OCR issues such as misrecognized characters, misplaced or missing punctuation, and inconsistent spacing.",0.35,0
5,"Carefully review and correct any formatting errors, accounting for possible OCR inaccuracies.",0.5,0
5,"Inspect and correct any formatting issues, paying close attention to errors that may have arisen from Optical Character Recognition (OCR) processes.",0.35,0
5,"Thoroughly examine and adjust any formatting issues, taking into consideration potential inaccuracies introduced by OCR processing. Please be vigilant for common OCR errors such as misinterpreted characters, misplaced punctuation, and incorrect alignment.",0.2,0
5,"Review and address any formatting issues, with a particular focus on detecting and correcting errors commonly introduced by Optical Character Recognition (OCR) processes. Be mindful of character misidentifications, spacing inconsistencies, and other anomalies typical in OCR text conversion.",0.5,0
5,"Examine and resolve any formatting issues, with a particular focus on identifying and correcting errors commonly associated with Optical Character Recognition (OCR) processes. Be especially vigilant for misinterpretations of characters, incorrect spacing, and potential alterations in text layout.",0.0,0
5,"Examine the data closely for any formatting discrepancies, with a particular focus on identifying and correcting errors that are likely to have been introduced by the Optical Character Recognition (OCR) process. Be vigilant for common OCR mistakes, such as misinterpreted characters, incorrect spacing, or misaligned text, and apply necessary corrections to ensure data accuracy and consistency.",0.0,0
6,"Carefully review and correct any formatting errors, accounting for possible OCR inaccuracies.",0.55,0
6,"Review and address any formatting issues, with a particular focus on detecting and correcting errors commonly introduced by Optical Character Recognition (OCR) processes. Be mindful of character misidentifications, spacing inconsistencies, and other anomalies typical in OCR text conversion.",0.45,0
6,"Examine and rectify any formatting anomalies, emphasizing the detection and correction of errors frequently caused by Optical Character Recognition (OCR) processes. Pay special attention to misidentified characters, irregular spacing, and other common discrepancies that may arise during OCR text processing. Be aware of potential letter substitutions, merged or separated words, and additional OCR-specific errors that could affect data integrity.",0.25,0
6,"Thoroughly examine the text for potential formatting issues, ensuring that you identify and correct errors that may have been introduced by OCR inaccuracies. Pay special attention to common OCR mistakes, such as misrecognized characters, incorrect spacing, and misplaced punctuation.",0.6,0
6,"Thoroughly examine and adjust formatting issues, taking into account potential inaccuracies introduced by OCR, including misrecognized characters, spacing errors, and misplaced punctuation.",0.75,0
6,"Analyze and rectify any formatting issues, paying special attention to errors frequently resulting from Optical Character Recognition (OCR) processes. Carefully identify and correct common OCR errors, such as inaccurately recognized characters, irregular spacing, and other typical conversion anomalies.",0.3,0
7,"Thoroughly examine and adjust formatting issues, taking into account potential inaccuracies introduced by OCR, including misrecognized characters, spacing errors, and misplaced punctuation.",0.55,0
7,"Thoroughly examine the text for potential formatting issues, ensuring that you identify and correct errors that may have been introduced by OCR inaccuracies. Pay special attention to common OCR mistakes, such as misrecognized characters, incorrect spacing, and misplaced punctuation.",0.45,0
